W/C,Density,Fly ash ,Sand,Foam,Age,CS (Mpa)
0.257142857,1000,9,55,3,7,0.5
0.202222222,1200,8,63,2,7,1
0.168,1400,6,68,1,7,1.4
0.257142857,1000,9,55,3,14,0.6
0.202222222,1200,8,63,2,14,1.2
0.168,1400,6,68,1,14,1.5
0.257142857,1000,9,55,3,28,0.8
0.202222222,1200,8,63,2,28,1.5
0.168,1400,6,68,1,28,1.8
0.257142857,1000,9,55,3,56,0.9
0.202222222,1200,8,63,2,56,1.7
0.168,1400,6,68,1,56,2
0.866666667,1000,31,22,2,7,0.6
0.935,1200,33,25,2,7,1.4
1.045333333,1400,34,27,1,7,2.3
0.866666667,1000,31,22,2,14,0.8
0.935,1200,33,25,2,14,1.6
1.045333333,1400,34,27,1,14,3.2
0.866666667,1000,31,22,2,28,1.5
0.935,1200,33,25,2,28,2
1.045333333,1400,34,27,1,28,3.8
0.866666667,1000,31,22,2,56,2
0.935,1200,33,25,2,56,3.5
1.045333333,1400,34,27,1,56,5.5
1.595238095,1000,46,0,2,7,0.5
1.861111111,1200,49,0,1,7,1
2.233333333,1400,52,0,1,7,1.5
1.595238095,1000,46,0,2,14,0.8
1.861111111,1200,49,0,1,14,1.3
2.233333333,1400,52,0,1,14,2.5
1.595238095,1000,46,0,2,28,1.2
1.861111111,1200,49,0,1,28,2.3
2.233333333,1400,52,0,1,28,3.5
1.595238095,1000,46,0,2,56,1.5
1.861111111,1200,49,0,1,56,3.5
2.233333333,1400,52,0,1,56,4
0.5,520,0,0,4,28,0.9
0.55,520,0,0,4,28,0.8
0.6,520,0,0,4,28,0.8
0.66,520,0,0,4,28,0.7
0.5,560,0,0,4,28,0.9
0.55,560,0,0,4,28,0.9
0.6,560,0,0,4,28,0.8
0.66,560,0,0,4,28,0.7
0.5,600,0,0,4,28,1.1
0.55,600,0,0,4,28,1.1
0.6,600,0,0,4,28,1
0.66,600,0,0,4,28,0.9
0.72,600,10,0,4,28,1.1
0.8,600,15,0,4,28,0.9
0.9,600,20,0,4,28,0.8
1.028571429,600,25,0,4,28,0.8
1.2,600,30,0,4,28,0.7
0.23,1801,0,34,16,7,7.9
0.22,1793,0,34,17,7,8.4
0.22,1790,0,34,17,7,8.2
0.23,1766,0,33,18,7,8
0.3,1876,0,24,8,7,26
0.15,1863,0,48,17,7,8.8
0.15,1869,0,48,17,7,9
0.15,1867,0,48,17,7,7.8
0.15,1847,0,48,18,7,9
0.15,1852,0,48,18,7,9.5
0.15,1849,0,48,18,7,8.3
0.15,1943,0,50,13,7,10.3
0.15,1935,0,50,14,7,9.9
0.15,1937,0,50,13,7,10.6
0.15,1919,0,50,14,7,9
0.15,1926,0,50,14,7,9.4
0.15,1924,0,50,14,7,8.6
0.2,1778,0,34,19,7,8.6
0.2,1778,0,34,19,7,8.4
0.2,1780,0,34,19,7,8.5
0.2,1764,0,33,20,7,6.4
0.2,1770,0,33,20,7,7.3
0.2,1767,0,33,20,7,6.5
0.2,1818,0,35,17,7,2.6
0.2,1957,0,38,10,7,4.1
0.2,2037,0,39,6,7,4.9
0.2,1811,0,35,17,7,2.8
0.2,1951,0,38,10,7,3.8
0.2,2030,0,39,6,7,4.5
0.2,1818,0,35,17,28,3.2
0.2,1957,0,38,10,28,5.1
0.2,2037,0,39,6,28,6.1
0.2,1811,0,35,17,28,3.7
0.2,1951,0,38,10,28,4.9
0.2,2030,0,39,6,28,5.9
0.19,1149,0,40,4,28,3.2
0.211111111,1149,4,40,4,28,3.5
0.223529412,1149,6,40,4,28,4
0.2375,1149,8,40,4,28,4.2
0.2,1136,0,40,4,28,3.4
0.222222222,1136,4,40,4,28,3.8
0.235294118,1136,6,40,4,28,4.2
0.25,1136,8,40,4,28,4.5
0.21,1124,0,40,4,28,3
0.234,1124,4,40,4,28,3.4
0.239411765,1095,3,41,5,28,3.8
0.2625,1125,8,39,4,28,4
0.22,1111,0,39,5,28,2.6
0.245142857,1111,4,39,5,28,3.2
0.26,1111,6,39,5,28,3.6
0.276774194,1111,8,39,5,28,3.8
0.2,1199,0,41,3,3,3.6
0.221621622,1199,4,41,3,3,3.5
0.25,1199,8,41,3,3,3.7
0.285714286,1199,12,41,3,3,3.7
0.333333333,1199,16,41,3,3,3.7
0.4,1199,20,41,3,3,3.5
0.2,1199,0,41,3,7,4.5
0.221621622,1199,4,41,3,7,4.3
0.25,1199,8,41,3,7,4.7
0.285714286,1199,12,41,3,7,4.8
0.333333333,1199,16,41,3,7,4.6
0.4,1199,20,41,3,7,4.4
0.2,1199,0,41,3,14,6.5
0.221621622,1199,4,41,3,14,5.5
0.25,1199,8,41,3,14,6.4
0.285714286,1199,12,41,3,14,6.7
0.333333333,1199,16,41,3,14,6.4
0.4,1199,20,41,3,14,5.8
0.2,1199,0,41,3,28,8.8
0.221621622,1199,4,41,3,28,7.5
0.25,1199,8,41,3,28,8.7
0.285714286,1199,12,41,3,28,10.2
0.333333333,1199,16,41,3,28,7.3
0.4,1199,20,41,3,28,6.7
0.5,1042,0,0,4,3,1.8
0.563684211,1042,6,0,4,3,2
0.62745098,1042,13,0,4,3,1.7
0.711111111,1042,19,0,4,3,1.3
0.5,1042,0,0,4,14,2.7
0.563684211,1042,6,0,4,14,3.2
0.62745098,1042,13,0,4,14,2.8
0.711111111,1042,19,0,4,14,2.2
0.5,1042,0,0,4,28,3.1
0.563684211,1042,6,0,4,28,3.5
0.62745098,1042,13,0,4,28,3.1
0.711111111,1042,19,0,4,28,2.4
0.5,1042,0,0,4,60,3.2
0.563684211,1042,6,0,4,60,3.7
